date_time,rating_above,rating_near,rating_below
2019-12-06T06:50:00,2,2,1
2019-12-07T06:42:00,2,2,1
2019-12-07T07:16:00,2,2,1
2019-12-08T07:01:00,2,2,1
2019-12-09T05:52:00,3,3,2
2019-12-09T07:11:00,3,3,2
2019-12-10T07:02:00,2,2,2
2019-12-10T07:53:00,2,2,2
2019-12-11T06:45:00,2,2,2
2019-12-12T06:46:00,2,2,2
2019-12-13T06:16:00,2,2,2
2019-12-14T06:50:00,3,3,3
2019-12-15T06:56:00,3,3,2
2019-12-16T06:51:00,3,3,2
2019-12-17T06:44:00,2,2,1
2019-12-18T07:08:00,2,2,1
2019-12-19T06:38:00,2,2,1
2019-12-20T06:43:00,2,2,1
2019-12-21T06:41:00,2,2,1
2019-12-22T06:25:00,2,2,1
2019-12-23T06:41:00,2,1,1
2019-12-24T07:01:00,2,1,1
2019-12-25T06:48:00,2,2,2
2019-12-26T07:03:00,2,2,1
2019-12-27T06:38:00,3,3,2
2019-12-28T06:46:00,3,3,2
2019-12-29T06:44:00,3,3,2
2019-12-30T06:43:00,3,3,2
2019-12-30T07:00:00,3,3,2
2019-12-31T06:27:00,2,2,1
2019-12-31T06:33:00,2,2,1
2020-01-01T06:55:00,2,1,1
2020-01-02T06:58:00,3,3,2
2020-01-03T07:13:00,3,2,1
2020-01-04T06:59:00,2,2,1
2020-01-04T08:27:00,2,2,1
2020-01-05T06:46:00,2,2,1
2020-01-06T06:34:00,2,2,1
2020-01-07T06:36:00,2,1,1
2020-01-07T07:17:00,2,1,1
2020-01-07T07:23:00,2,1,1
2020-01-08T06:32:00,2,1,1
2020-01-09T06:41:00,2,1,1
2020-01-10T06:47:00,2,1,1
2020-01-11T06:55:00,2,1,1
2020-01-12T06:47:00,2,1,1
2020-01-13T07:00:00,2,2,1
2020-01-14T06:44:00,3,2,1
2020-01-15T07:05:00,3,2,1
2020-01-16T06:45:00,2,2,1
2020-01-17T06:50:00,2,2,1
2020-01-18T07:01:00,2,2,2
2020-01-18T07:42:00,2,2,2
2020-01-19T06:51:00,2,2,1
2020-01-20T06:41:00,2,2,1
2020-01-20T07:04:00,2,2,1
2020-01-21T06:59:00,2,2,1
2020-01-22T06:37:00,2,2,2
2020-01-23T06:59:00,3,2,2
2020-01-24T06:58:00,2,2,1
2020-01-25T06:43:00,2,2,1
2020-01-25T06:49:00,2,2,1
2020-01-26T06:28:00,2,1,1
2020-01-27T06:25:00,2,1,1
2020-01-28T06:56:00,3,2,2
2020-01-29T07:07:00,2,2,1
2020-01-30T06:34:00,2,2,1
2020-01-31T07:06:00,2,1,1
2020-02-01T06:50:00,2,1,1
2020-02-01T06:57:00,2,1,1
2020-02-02T06:47:00,1,1,1
2020-02-02T07:44:00,1,1,1
2020-02-03T07:07:00,2,2,1
2020-02-03T07:18:00,2,2,1
2020-02-03T07:20:00,2,2,1
2020-02-04T07:03:00,2,2,2
2020-02-05T06:53:00,2,2,1
2020-02-06T07:04:00,2,2,1
2020-02-07T07:34:00,3,3,3
2020-02-08T06:56:00,3,3,2
2020-02-09T06:40:00,3,2,2
2020-02-10T06:29:00,2,2,1
2020-02-11T07:03:00,2,2,2
2020-02-12T06:59:00,2,2,2
2020-02-13T05:50:00,2,2,1
2020-02-14T06:54:00,2,1,1
2020-02-14T07:14:00,2,1,1
2020-02-15T06:22:00,1,1,1
2020-02-16T06:16:00,1,1,1
2020-02-17T06:48:00,2,1,1
2020-02-18T06:41:00,1,1,1
2020-02-19T07:01:00,1,1,1
2020-02-20T06:33:00,1,1,1
2020-02-21T06:57:00,1,1,1
2020-02-22T06:45:00,1,1,1
2020-02-23T06:39:00,2,2,2
2020-02-24T06:44:00,3,3,2
2020-02-25T06:28:00,2,2,1
2020-02-26T06:38:00,2,2,1
2020-02-27T06:51:00,2,2,1
2020-02-28T06:56:00,2,1,1
2020-02-29T06:46:00,1,1,1
2020-03-01T06:41:00,1,1,1
2020-03-02T06:58:00,2,2,1
2020-03-03T06:51:00,2,1,1
2020-03-04T06:54:00,2,1,1
2020-03-05T07:00:00,2,1,1
2020-03-06T06:42:00,1,1,1
2020-03-07T06:47:00,1,1,2
2020-03-07T08:20:00,1,1,2
2020-03-08T06:41:00,1,1,1
2020-03-09T07:01:00,1,1,1
2020-03-10T06:48:00,1,1,2
2020-03-10T08:48:00,1,1,2
2020-03-11T07:09:00,2,2,1
2020-03-12T07:16:00,2,2,2
2020-03-13T06:49:00,3,3,2
2020-03-14T06:24:00,3,3,3
2020-03-15T06:31:00,2,2,2
2020-03-15T06:55:00,2,2,2
2020-03-16T06:25:00,2,2,2
2020-03-17T06:57:00,2,2,2
2020-03-18T07:16:00,2,2,2
2020-03-19T06:58:00,3,3,3
2020-03-20T07:10:00,3,3,2
2020-03-21T06:37:00,3,3,2
2020-03-22T06:50:00,2,2,2
2020-03-22T06:58:00,2,2,2
2020-03-23T06:41:00,2,2,2
2020-03-24T06:32:00,2,2,2
2020-03-25T06:57:00,2,2,2
2020-03-26T07:16:00,2,2,2
2020-03-26T09:05:00,2,2,2
2020-03-26T09:33:00,3,3,2
2020-03-27T06:56:00,3,3,2
2020-03-28T06:35:00,3,3,3
2020-03-29T06:39:00,2,2,2
2020-03-30T06:38:00,2,2,2
2020-03-31T06:47:00,2,2,2
2020-04-01T06:43:00,2,2,2
2020-04-02T06:55:00,2,2,2
2020-04-03T06:40:00,2,2,2
2020-04-04T06:50:00,2,2,2
2020-04-05T06:51:00,2,2,3
2020-04-06T06:47:00,2,2,3
2020-04-07T06:58:00,2,2,3
2020-04-07T07:02:00,2,2,3
2020-04-08T06:55:00,2,3,3
2020-04-08T08:38:00,2,3,3
2020-04-09T06:58:00,2,3,3
2020-04-10T06:13:00,3,3,3
2020-04-11T06:25:00,2,3,3
2020-04-11T09:42:00,2,3,3
2020-04-11T09:53:00,2,3,3
2020-04-12T06:43:00,2,2,2
2020-04-14T13:57:00,2,2,2
